barrio,año,trimestre,alquiler(pesos),ambientes
AGRONOMIA,2016,1,201800,2
AGRONOMIA,2016,2,203200,2
AGRONOMIA,2016,3,209500,2
AGRONOMIA,2016,4,205200,2
AGRONOMIA,2017,1,214000,2
AGRONOMIA,2017,2,220300,2
AGRONOMIA,2017,3,230300,2
AGRONOMIA,2017,4,,2
AGRONOMIA,2018,1,,2
AGRONOMIA,2018,2,,2
AGRONOMIA,2018,3,,2
AGRONOMIA,2018,4,,2
AGRONOMIA,2019,1,,2
AGRONOMIA,2019,2,,2
AGRONOMIA,2010,1,157400,2
AGRONOMIA,2010,2,161000,2
AGRONOMIA,2010,3,166500,2
AGRONOMIA,2010,4,180900,2
AGRONOMIA,2011,1,178300,2
AGRONOMIA,2011,2,177400,2
AGRONOMIA,2011,3,186800,2
AGRONOMIA,2011,4,202000,2
AGRONOMIA,2012,1,202400,2
AGRONOMIA,2012,2,208800,2
AGRONOMIA,2012,3,197400,2
AGRONOMIA,2012,4,211700,2
AGRONOMIA,2013,1,238600,2
AGRONOMIA,2013,2,229600,2
AGRONOMIA,2013,3,219600,2
AGRONOMIA,2013,4,215400,2
AGRONOMIA,2014,1,211500,2
